Plante,Bienfaits,Utilisations,Précautions
Menthe poivrée,"Soulage les maux de tête, les douleurs musculaires et les troubles digestifs","Infusion, huile essentielle",Éviter en cas de reflux gastrique ou d'allergie
Camomille,"Réduit le stress, améliore le sommeil, soulage les crampes abdominales","Infusion, teinture",Pas recommandé aux femmes enceintes sans avis médical
Aloe Vera,"Apaise les brûlures, hydrate la peau, accélère la cicatrisation","Gel, jus",Ne pas appliquer sur des plaies ouvertes profondes
Gingembre,"Aide à la digestion, réduit les nausées, combat les inflammations","Infusion, décoction, huile essentielle",Peut interagir avec certains anticoagulants
Thym,"Stimule le système immunitaire, combat les infections respiratoires","Infusion, inhalation",Utilisation modérée pendant la grossesse
Romarin,"Améliore la mémoire, stimule la circulation sanguine, réduit les douleurs musculaires","Infusion, huile essentielle",Peut provoquer des irritations chez les personnes sensibles
Lavande,"Apaise l'anxiété, favorise le sommeil, soulage les irritations cutanées","Huile essentielle, infusion",À éviter en cas d'allergies respiratoires sévères
Eucalyptus,"Décongestionne les voies respiratoires, soulage les infections respiratoires","Inhalation, huile essentielle",Utilisation modérée pour les enfants
Curcuma,"Réduit les inflammations, soutient le système immunitaire, soulage les douleurs articulaires","Poudre, infusion",À éviter en cas de calculs biliaires sans avis médical
Valériane,"Favorise un sommeil réparateur, apaise l'anxiété et réduit le stress","Infusion, teinture",Ne pas combiner avec des sédatifs
